objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
254,E07000240,St Albans, ,514580,209623,-0.3407,51.7736,0.0210021050279832,0.846298148780175
255,E07000241,Welwyn Hatfield, ,525345,208467,-0.18518,51.7609,0.0168597019845949,0.95035937108752
256,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.8648,0.0620703155598921,1.56165656497667
257,E07000243,Stevenage, ,524622,224531,-0.18987,51.9054,0.003388104989444,0.328716808735602
258,E08000001,Bolton, ,368352,409873,-2.47952,53.5845,0.0189723251313792,0.981707714759114
259,E08000002,Bury, ,379658,410768,-2.3088,53.5931,0.0135017547027884,0.796802604388908
260,E08000003,Manchester, ,384591,397063,-2.23359,53.4701,0.0156418694125956,1.01499990705611
261,E08000004,Oldham, ,396603,406784,-2.05274,53.5577,0.0193065098027298,0.86002741343074
262,E08000005,Rochdale, ,390315,412326,-2.14784,53.6074,0.021484459916459,0.972102384660112
263,E08000006,Salford, ,374556,398128,-2.38485,53.4793,0.013158546869179,0.788994060541272
264,E08000007,Stockport, ,391806,388264,-2.12467,53.3912,0.0170334480432348,0.865387345008151
265,E08000008,Tameside, ,394987,397995,-2.077,53.4787,0.0139683815386319,0.668681670103648
266,E08000009,Trafford, ,375790,391162,-2.36572,53.4167,0.0143355214542682,0.739001524426748
267,E08000010,Wigan, ,362136,402126,-2.57247,53.5145,0.0255035880387369,1.04903873410608
268,E08000011,Knowsley, ,344762,393778,-2.83297,53.4379,0.0117017569648974,0.809422879560315
269,E08000012,Liverpool, ,339361,390553,-2.91364,53.4083,0.0151131615184437,0.74387347548513
270,E08000013,St. Helens, ,353412,395992,-2.7031,53.4586,0.0184612791155453,0.909245489137814
271,E08000014,Sefton, ,334264,398832,-2.99204,53.4821,0.0210124590139,1.35915802297688
272,E08000015,Wirral, ,329242,386937,-3.06502,53.3745,0.0212066510738194,0.892056047066498
273,E08000016,Barnsley, ,429979,403327,-1.54925,53.5258,0.0446235051174632,1.56995979755795
274,E08000017,Doncaster, ,459167,403735,-1.10894,53.527,0.0770232183009564,2.08205742940391
