,Venue,Latitude,Longitude,Group,Category
299,Better London Aquatics Centre,51.54025222005029,-0.010535717010498047,Well-Being,Pool
304,Better Leytonstone Leisure Centre,51.55995085042638,0.004284399637246972,Well-Being,Pool
306,Leyton Leisure Centre,51.573975,-0.010304041,Well-Being,Pool
307,Sylvestrian Leisure Centre,51.582762107817885,0.006325385314892558,Well-Being,Pool
312,Better Chingford Leisure Centre,51.616800681842754,-0.0061122479793620085,Well-Being,Pool
313,Loughton Leisure Centre,51.648443739577345,0.05811876832302721,Well-Being,Pool
314,Waltham Abbey Swimming Pool,51.68122151404479,0.007138136870151033,Well-Being,Pool
315,Turnford School Swimming,51.714063,-0.026613,Well-Being,Pool
318,Darrick Wood Swimming Pool,51.367678912841434,0.06501476519604354,Well-Being,Pool
319,Walnuts Leisure Centre,51.3765389874393,0.10221990058429765,Well-Being,Pool
325,Dagenhan Lake,51.54002664376801,0.11280312035552832,Well-Being,Pool
326,Loxford Leisure Centre,51.549974824153026,0.0880025940526721,Well-Being,Pool
328,Forest Park Swimming Club,51.61283862961101,0.06292352589417978,Well-Being,Pool
331,The Scuba Shack,51.354574,0.100371,Well-Being,Pool
333,Pool White Oak,51.401779497280764,0.17051381772314975,Well-Being,Pool
334,White Oak Leisure Centre,51.40169251579395,0.17085626480547442,Well-Being,Pool
336,Dagenham Swimming Pool,51.560945616266956,0.15005446022483504,Well-Being,Pool
341,Shooting Butts Hide,51.49496,0.220529,Well-Being,Pool
343,Hornchurch Sports Centre,51.561411510286085,0.20781990242195558,Well-Being,Pool
344,Ravensbourne School Swimming Pool,51.595036,0.218237,Well-Being,Pool
345,Central Park Leisure Centre,51.60782656663348,0.22422730922698975,Well-Being,Pool
348,Pool,51.592055,0.281416,Well-Being,Pool
